time,fl_true_x,fl_true_y,fl_true_z,fl_est_x,fl_est_y,fl_est_z,fq_true_x,fq_true_y,fq_true_z,fq_est_x,fq_est_y,fq_est_z,wind_x,wind_y,wind_z
1764062004.2787938,0.40600256324317974,0.4280273739435556,0.012379884274427017,0.6352657330234337,0.6584550280456699,0.00933946309408751,0.40617381123644464,0.4282079117910627,0.01238249428289757,0.6449156667438406,0.6753817801396667,0.009704430327558859,6.410488300404919,6.712974204370926,0.09475103050029914
1764062004.2888484,0.4028164369652535,0.42331764072371053,0.012356379796487207,0.42023541494446615,0.41020976942776316,0.011874478333218832,0.40298553116468305,0.4234953409141542,0.012358972424057936,0.4658945342272858,0.49031665874128416,0.01361480173788017,6.396374469838136,6.704388978147027,0.09773303506964716
1764062004.2989442,0.3992446555349758,0.419964486751934,0.00881378853971947,0.4404433462989487,0.38604345478310703,0.010929454325890637,0.39941779738955624,0.42014522299773027,0.008815691607136075,0.550725733857294,0.5795811991192624,0.015387390393386362,6.394163407895084,6.703968396775909,0.08970759362274143
1764062004.3088026,0.3961320843462857,0.4156218765870726,0.007619547022773865,0.4665391391526409,0.3525005367577958,0.008880404916176055,0.39655729304902454,0.41602295836178754,0.007623421864784467,0.6612771251230214,0.6942766149279034,0.017633496831218596,6.390173310735679,6.680922095227523,0.08042345858230336
1764062004.318839,0.3926771079336528,0.4116334464164696,0.004013922415794088,0.4968958824787997,0.31571952893854166,0.0055397991331270924,0.3942639516541547,0.4130498323765787,0.0040215095000919665,0.7891000251328661,0.8280475803381109,0.020357548162225646,6.3822528387239785,6.666368650869267,0.05944430166739955
1764062004.3288229,0.3894099857318083,0.4119786317544013,0.0018021803896924237,0.529076789430629,0.27938232670402136,0.0048382695306757855,0.39337110343522724,0.41554391013251585,0.00181176713550961,0.9269842597680968,0.9750479958286662,0.027506963306088858,6.361814310948131,6.676969149656196,0.08442095292996127
1764062004.338861,0.3828287131252289,0.40529272787688214,0.0014242569688771825,0.5610048996089715,0.24075868752296198,0.0036163544820330966,0.38971749022561025,0.41167113528063365,0.0014415054446753766,1.0687849031465195,1.1248653594539977,0.03606388632215308,6.339247491585275,6.672793155510849,0.10162809682303785
1764062004.3486564,0.38273180071542234,0.403852291481052,0.0031965985496390775,0.5963547553171569,0.20603053377317915,0.0030293623363540196,0.39271948567250414,0.41321270759382733,0.003250993111513086,1.2137236592921197,1.2767485914059575,0.0476183449854752,6.348314493649873,6.684232237227371,0.11354190140239206
1764062004.3587468,0.38032149494142753,0.40512570509357815,0.00125151457190429,0.628325652253903,0.17249544937829003,0.0024867696848794875,0.39363157365194384,0.4175780101927841,0.001306483957181871,1.3511200765791866,1.4220002473497944,0.06202487517447812,6.343660746751868,6.695220325321091,0.11220420194328178
1764062004.3687482,0.37749678098322564,0.40313238837243154,0.0015169937758826503,0.6575748087628002,0.14163192740775843,0.0012557834123177324,0.39449089474936594,0.41878176800357514,0.0016157688926591593,1.479220407867134,1.5578879931311114,0.07819954697870395,6.335979896700665,6.709318958708365,0.09974574609019624
