timestamp,scenario_id,trajectory_mode,wind_type,quad_pos_x,quad_pos_y,quad_pos_z,quad_vel_x,quad_vel_y,quad_vel_z,quad_rot_r13,quad_rot_r23,quad_rot_r33,quad_omega_x,quad_omega_y,quad_omega_z,quad_acc_x,quad_acc_y,quad_acc_z,load_pos_x,load_pos_y,load_pos_z,load_vel_x,load_vel_y,load_vel_z,load_acc_x,load_acc_y,load_acc_z,cable_dir_x,cable_dir_y,cable_dir_z,motor_rpm_1,motor_rpm_2,motor_rpm_3,motor_rpm_4,thrust_total,mass_quad,mass_load,l_length,sqrt_kf,fl_true_x,fl_true_y,fl_true_z,fq_true_x,fq_true_y,fq_true_z,fl_est_x,fl_est_y,fl_est_z,fq_est_x,fq_est_y,fq_est_z,wind_x,wind_y,wind_z
1762176507.1421702,,circle,,4.914633520389591,-0.10550682654451991,2.659192993581918,0.048965145713235285,2.5384434087486873,-0.005092037289899494,-0.1347867472708163,0.046046075544462904,0.9898041683594627,-0.028480870336033866,0.046330490719347556,0.5333117573682266,-0.25019778235841184,0.046599604614974366,9.833748379598228,4.991036747733729,-0.16559992104858004,1.9959280349131532,0.01921356088114911,2.632782896848958,-0.013943125346157333,-1.1286345877263535,0.17941058715242875,9.658164470912697,0.1142034747492321,-0.041897717784841165,-0.9925734973288495,19547,18261,21335,21042,14.49133574108108,1.15,0.285,0.66844507,9.476982642170451e-05,4.937313083338022e-07,-0.07376057775532849,0.0003989105497921547,-0.0011347127498770916,-0.06849896985007901,0.00014464912082252321,-0.07204921221879575,0.0038777686788467264,-0.009212094164640597,-0.01641533741118637,-0.2893777488478171,0.029175144732526817,0.0,0.0,0.0
1762176507.1521702,,circle,,4.915153046492155,-0.07248933785150996,2.6591255380041328,0.03086677991676109,2.541207115341172,-0.004662825932722764,-0.13496315763101457,0.04579900295701583,0.9897915929249318,0.07192027790552097,-0.345006595980286,0.4982528529252704,-0.24693039627349192,0.04942756116335101,10.027143418632116,4.991163378079027,-0.0997288619713305,1.9955750505315633,-0.009133125373505507,2.6367975174402853,-0.013168950257828828,-1.1423146444211467,0.1494155557670851,9.97812228370401,0.11371215825837694,-0.04075057972949151,-0.9926776593214598,19506,17886,21388,20970,14.348381480708321,1.15,0.285,0.66844507,9.476982642170451e-05,0.0003195991195422455,-0.07384583879956057,0.0003591105549973806,-0.000757359181163047,-0.06860937336355831,0.00011941433937863004,-0.07204921221879575,0.0038777686788467264,-0.009212094164640597,-0.01641533741118637,-0.2893777488478171,0.029175144732526817,0.0,0.0,0.0
1762176507.1621702,,circle,,4.915392090258917,-0.04706779350936726,2.6590822462989165,0.017029301419659266,2.5429695683929663,-0.004442258334616776,-0.13387156492310728,0.04023761010464756,0.9901814676374014,0.10812903101731094,-0.6216015514038383,0.4675858795430316,-0.2578239861495188,0.046920722752739286,9.792579776338195,4.990972468724586,-0.06807725653503993,1.9954240522080011,-0.022603107276329852,2.6384123358384386,-0.012569310586520789,-1.1105436353340061,0.12615795044768063,9.761560940471469,0.11302206172323442,-0.03903935375093231,-0.9928252325674136,19649,20013,19670,19729,14.035519309118522,1.15,0.285,0.66844507,9.476982642170451e-05,0.0006332835930165951,-0.07392184098368919,0.0003521615124835993,-0.00038645701082359445,-0.06869303899972966,0.00012511073087345507,-0.07215444939884706,0.0035368044842009503,-0.009144115825309718,-0.01472438229134974,-0.2907498182837263,0.027733780158583732,0.0,0.0,0.0
1762176507.1721702,,circle,,4.915498868740642,-0.01654443576143653,2.6590222301423703,0.0007929698751373629,2.5441028522907914,-0.005523199910600443,-0.13262432402330873,0.03358852256945497,0.9905970925875225,0.112922831428727,-0.48697973979346587,0.47445566414787227,-0.26663795124658396,0.04608521308058933,9.801463099350219,4.9908996833893475,-0.06016147809219427,1.9953860980557125,-0.025919553418641404,2.6387711849279736,-0.012732637714653302,-1.1030819998015182,0.11155993177514034,9.753697527223386,0.11248842774239066,-0.037613922025860266,-0.9929408575005249,19942,20328,19433,19397,14.053934023860721,1.15,0.285,0.66844507,9.476982642170451e-05,0.0009430621865253924,-0.07398959895163292,0.0003655399353876803,-2.135497415774562e-05,-0.0687393966090391,0.00014943469980329958,-0.07217328911441309,0.0032354652178896723,-0.0090741574113327,-0.013486187190952764,-0.2909632938966411,0.027248430823271105,0.0,0.0,0.0
1762176507.1821702,,circle,,4.9154951896643,-0.00891188691272039,2.659005338348642,-0.0032439059974941203,2.5442553068149247,-0.00573535502646651,-0.13228175707872095,0.03223278814956996,0.9906879347837209,0.10901355857106018,-0.3976170951907255,0.4874507503900132,-0.27437418761475907,0.04487970097573046,9.824658968435495,4.99050921376858,-0.02848814411317112,1.9952302365790924,-0.0391505159919596,2.6400858301846126,-0.013182771240883523,-1.0994911362573259,0.0980940979107281,9.776717839764004,0.11208791628809182,-0.03646861224392889,-0.9930288713543004,20005,20097,19523,19571,14.085053920445281,1.15,0.285,0.66844507,9.476982642170451e-05,0.0012520856399423279,-0.07405110833834119,0.0003722733779307664,0.00034119046803224025,-0.06875860100653755,0.00016667620607085698,-0.07229024478255211,0.0029075881462701215,-0.00901774449199117,-0.01237622325932438,-0.29082302594845516,0.02738254048924272,0.0,0.0,0.0
1762176507.1921701,,circle,,4.915359825321207,0.02162093422646132,2.658932201060539,-0.019291526528801062,2.544439965056748,-0.006404253632821468,-0.13100077631784635,0.0274169175193626,0.991003082362115,0.0947205366204159,-0.38541978318198433,0.49033342752530734,-0.280451125795219,0.04384893615377816,9.84365296421174,4.9899074125175975,0.005841046520404589,1.9950575717582897,-0.0534235825703563,2.641289348530234,-0.013329220551758935,-1.095784643350993,0.08433473163815819,9.795663922105142,0.1115299233662871,-0.03473600514583552,-0.9931538078970541,19756,19737,19880,19903,14.11138274983848,1.15,0.285,0.66844507,9.476982642170451e-05,0.0015602627292729272,-0.07410617657017728,0.0003737090057208494,0.0007009290030755089,-0.06875528443763469,0.00017829128807834166,-0.07242924256216865,0.0025831021867134744,-0.00896456998906255,-0.011350882197951013,-0.29072340882408265,0.027977771037434596,0.0,0.0,0.0
1762176507.2021701,,circle,,4.914996878447033,0.05469610567744092,2.658846153211586,-0.03652129235462985,2.5439256932420924,-0.006770179264192969,-0.1297688402221529,0.022442982620232824,0.9912902504571884,0.08820745414091852,-0.36835989532167684,0.4858033614330925,-0.28633012144629466,0.04303051865056795,9.86522353582162,4.98931844632522,0.032257892657640834,1.9949247401272432,-0.06436429697134419,2.6420566901639795,-0.01320350058869921,-1.0927013509784282,0.07047754331157563,9.817152890275192,0.11118575214892,-0.03356777396802417,-0.9932325674633866,19677,19763,19949,19970,14.141303882698681,1.15,0.285,0.66844507,9.476982642170451e-05,0.0018677329687589756,-0.07415473455919507,0.00036913708144310125,0.0010580830615025724,-0.06873034833844598,0.00018369986344571193,-0.07260016907571847,0.002242317126260235,-0.00891455516709164,-0.010179288628426389,-0.2908771894252359,0.027760871954511306,0.0,0.0,0.0
1762176507.2121701,,circle,,4.914463867170953,0.08521719300166772,2.6587644762836127,-0.05229211098681286,2.5428284103937857,-0.006804297370503504,-0.12871398982205515,0.018282269594179487,0.991513221018887,0.0788346912400162,-0.32458602764408867,0.4838274191059497,-0.2924397145324999,0.04213582482090561,9.884769546115633,4.9884675059745875,0.0639671880198657,1.994768459473723,-0.07745084877918547,2.6427914489091826,-0.012807425287144377,-1.088749755689275,0.05333758120729115,9.83678919801871,0.11071012731627188,-0.03179020376618534,-0.9933441753260143,19817,19914,19832,19858,14.162906418180361,1.15,0.285,0.66844507,9.476982642170451e-05,0.002174438665072065,-0.07419657777013092,0.0003595695964051139,0.0014125227055550437,-0.06868519617377529,0.00018397121469317348,-0.07273453668695246,0.0019097123580450416,-0.008861991510860163,-0.00900282305597487,-0.2910348024545504,0.027587469070789954,0.0,0.0,0.0
1762176507.22217,,circle,,4.914003718506305,0.10555586134221161,2.6587103856039263,-0.06273576699193038,2.5418015449798737,-0.006704737578674115,-0.12806625991271342,0.015787537136556402,0.9916399481443041,0.0719104668196002,-0.29895951473577553,0.4856053681048194,-0.295752275057279,0.04162390482990874,9.895006447448177,4.988230256141164,0.07189579262193999,1.994730236148333,-0.08071514056743292,2.642942747594297,-0.012673338916281755,-1.0854802746002312,0.038673148565315785,9.850141257402498,0.11035010208809734,-0.030281750559822445,-0.9934313617720044,19925,19948,19800,19811,14.185492435146001,1.15,0.285,0.66844507,9.476982642170451e-05,0.002480326141074943,-0.07423149257267928,0.000345962867717983,0.0017642102531414256,-0.06862221189802425,0.00018013904072068142,-0.0728513134480511,0.001576218798421796,-0.008808855125903728,-0.007806524390185362,-0.2912327117188286,0.027326530707629755,0.0,0.0,0.0
1762176507.23217,,circle,,4.913311392344388,0.1309662352284758,2.658644450614556,-0.07571544771556891,2.540220206864044,-0.006465739587619348,-0.12731749313504778,0.012918261779330684,0.9917778856511845,0.06319234411597932,-0.2691375727412615,0.4881165231724936,-0.29975596264272686,0.04099905568864215,9.90771422378342,4.987183467244164,0.1036141536883728,1.9945818413639167,-0.09374193242538303,2.6434152057268268,-0.012029293710722722,-1.0821871875550808,0.023632253281835602,9.860385568209946,0.11002227137660031,-0.02874543715062369,-0.9935133615831009,19891,19922,19848,19860,14.198574796503081,1.15,0.285,0.66844507,9.476982642170451e-05,0.002785363837438719,-0.0742592697713412,0.0003290555219007197,0.0021131583670242265,-0.06854337247851633,0.0001730126852607638,-0.07310151202641545,0.0009114990707986513,-0.0087104369698618,-0.005415083577941133,-0.2916774978376068,0.027046126056333088,0.0,0.0,0.0
1762176507.24217,,circle,,4.912749727951407,0.14874335402551464,2.6585999645448344,-0.0847535904560262,2.5389330754182002,-0.006238141421844658,-0.12683566918582673,0.011077160266125721,0.991861890363189,0.057555162260579995,-0.24510364511184596,0.48820636204830364,-0.3022377993851263,0.04059159240262855,9.915864850598899,4.985873376289821,0.1379805672774734,1.9944309292524531,-0.10780153376141483,2.643682309739915,-0.011162161402741662,-1.0796303837231207,0.011345964309406043,9.867220622073683,0.1097826988669042,-0.027494707700282724,-0.9935752614059866,19858,19892,19893,19903,14.207484418625521,1.15,0.285,0.66844507,9.476982642170451e-05,0.003089528960630889,-0.07427969864347343,0.00030948471518825015,0.002459419585047411,-0.06845054228620827,0.00016329475306628885,-0.07310151202641545,0.0009114990707986513,-0.0087104369698618,-0.005415083577941133,-0.2916774978376068,0.027046126056333088,0.0,0.0,0.0
1762176507.2521703,,circle,,4.9115393289048725,0.18173213908560698,2.6585221889024533,-0.10144028203654831,2.536191463560152,-0.0057077198975251575,-0.12600009790856626,0.00794860429728942,0.9919983845898126,0.05289027813746785,-0.22710675742486572,0.4876258208711894,-0.30413766661643216,0.04019987819773596,9.921860265954871,4.984741438251703,0.16441765900637312,1.9943230684769102,-0.11858081616452097,2.6437098430046833,-0.010399607933764507,-1.0765503660221942,-0.004332135667972636,9.874269156640594,0.10946035148750413,-0.02558025833609107,-0.9936619555138916,19872,19895,19899,19909,14.217841721756121,1.15,0.285,0.66844507,9.476982642170451e-05,0.0033928137294581802,-0.07429257273729349,0.0002877300142291944,0.0028030166329206015,-0.0683453092258185,0.00015151700237615268,-0.07321844245911832,0.0005791219487632524,-0.008663542612921514,-0.0042138569892249626,-0.29190205882290754,0.02695569948676312,0.0,0.0,0.0
1762176507.2621703,,circle,,4.910230194447027,0.21214938113829163,2.658457063138795,-0.1167312342995494,2.5332949021995175,-0.005140072701383182,-0.12531688198256416,0.00539292440843997,0.9921021093962066,0.04265754924482125,-0.19504648250126552,0.48810209046265696,-0.3054048093052579,0.039853037872811026,9.924537531229646,4.983241057952924,0.19614134667046434,1.9942041231754817,-0.13147496798232536,2.6435326835576265,-0.009417272807624477,-1.0728743709242927,-0.023655919450860097,9.879226538803662,0.10926963114119015,-0.024277314009542104,-0.9937156332345538,19897,19943,19865,19882,14.222153797189241,1.15,0.285,0.66844507,9.476982642170451e-05,0.003695162451317403,-0.07429766176849209,0.00026467667847769475,0.0031439225308927195,-0.06822902524206836,0.000138587126134624,-0.0733926861387995,-6.876894228483885e-05,-0.008571586618433219,-0.0017864001146438745,-0.2923919760398681,0.026599632434590334,0.0,0.0,0.0
1762176507.2721703,,circle,,4.908999479908488,0.23746929246473436,2.658408209444584,-0.12940131077697864,2.5306561089175434,-0.0046246812556138975,-0.12482700597623717,0.0035454762615212618,0.9921721867644294,0.04045769509568979,-0.18051112299593153,0.48903894700481937,-0.3058417973245703,0.039643828303034256,9.927985346978675,4.982154954326057,0.21728868541587298,1.9941315261891628,-0.14004799686409256,2.6432844616325153,-0.008727683485723219,-1.0701698930719872,-0.04010882915750358,9.88360092934361,0.10901903675764144,-0.02228173449881611,-0.9937899043219147,19918,19917,19884,19881,14.2267811798236,1.15,0.285,0.66844507,9.476982642170451e-05,0.0039966126912950465,-0.0742947800927744,0.0002403479705173901,0.003482380843506661,-0.06810363971722751,0.00012460101928377942,-0.07348489896091488,-0.000404511367229367,-0.008525422290922261,-0.0004991236237135624,-0.2926810732720724,0.026448361936106977,0.0,0.0,0.0
1762176507.2821703,,circle,,4.907642378318319,0.26276190754637285,2.6583646555899016,-0.14200865349769798,2.5278387628610925,-0.0040824032721043044,-0.1243575837643107,0.0018397535737876211,0.9922357616407675,0.03698438181301733,-0.16600598457935212,0.4894141726721678,-0.3058188588451762,0.03938742332138001,9.92975967241117,4.981148404949559,0.235790659787499,1.994072605971192,-0.14753530145178229,2.6429802668230975,-0.008104909103560464,-1.0675870130241738,-0.056923000310682426,9.88637908773255,0.10884214719114121,-0.02058059620228869,-0.9938459770280204,19898,19904,19900,19905,14.2292727327114,1.15,0.285,0.66844507,9.476982642170451e-05,0.004297165725019943,-0.07428372838070432,0.00021507032407873654,0.0038184316911345456,-0.06797041965192285,0.00010990883455739587,-0.07348489896091488,-0.000404511367229367,-0.008525422290922261,-0.0004991236237135624,-0.2926810732720724,0.026448361936106977,0.0,0.0,0.0
1762176507.2921703,,circle,,4.906916627592796,0.27539744332308497,2.658344933121795,-0.1482889958669305,2.5263690974359987,-0.0038071188288410847,-0.12413855009980505,0.0010429789781390905,0.9922643461223818,0.030568214947781756,-0.14535772117149157,0.4897011159789412,-0.30529022125809147,0.039138930792165905,9.93000134285905,4.979140233978373,0.2701446152237707,1.9939749266070457,-0.16140695224514093,2.642195573263525,-0.0069187747498433766,-1.065136815836254,-0.07408763114202799,9.88770219021509,0.10869371414059006,-0.01884474494488313,-0.9938966506102566,19889,19930,19887,19901,14.22928302530412,1.15,0.285,0.66844507,9.476982642170451e-05,0.004596808982556025,-0.07426430717371377,0.00018927235185110472,0.004152109574875928,-0.06783045403437746,9.494845547951634e-05,-0.07357478474387462,-0.0007526686787387961,-0.00847647095865514,0.0008510074105597898,-0.293001781074994,0.026307788071666862,0.0,0.0,0.0
1762176507.3021703,,circle,,4.9045514616353305,0.31325871774430464,2.6582941006605143,-0.1670461627729498,2.521751746995087,-0.0029679681076496276,-0.12356640828112397,-0.0010757534739120958,0.992335722178029,0.028215952802828518,-0.1357980396539509,0.4896652275511045,-0.30423705913108384,0.03892027964156952,9.930259006205015,4.977472928043002,0.2965627071061761,1.9939103867888077,-0.17205055122579663,2.6413937487259846,-0.005987053038873541,-1.0633850455573635,-0.0880454424807553,9.888772673114335,0.10857322802879225,-0.017074556829851515,-0.9939418059748127,19888,19908,19903,19910,14.229990088702442,1.15,0.285,0.66844507,9.476982642170451e-05,0.004895570623938131,-0.07423634039192391,0.00016299323863715824,0.004483580526370668,-0.06768498567290562,7.978724590960808e-05,-0.07367458263562658,-0.0011099791729754659,-0.00842906883818288,0.0022308530036651876,-0.2933451403306405,0.02614582178636013,0.0,0.0,0.0
1762176507.3121703,,circle,,4.902818769305081,0.33846017710672605,2.6582671860016127,-0.17948409850524052,2.5185226867396753,-0.0024167110031817684,-0.12324728307835447,-0.002291144296673611,0.9923733460161038,0.021283197677078494,-0.11441573805467158,0.4899470498529208,-0.3031079961043038,0.038720779618057755,9.928631744770678,4.975699295349947,0.3229719034262372,1.9938551965668267,-0.18267235580279212,2.640415886049323,-0.00505270385464795,-1.0618198866570172,-0.1004478143706855,9.888049036280448,0.10852331374652668,-0.016176798268221024,-0.9939622737162928,19889,19940,19878,19896,14.227862449919721,1.15,0.285,0.66844507,9.476982642170451e-05,0.005193424513237033,-0.0741996409423918,0.00013674170224347738,0.00481289969476974,-0.06753496800107539,6.492391821669558e-05,-0.07375683721551378,-0.0014624871939481563,-0.008382448210063162,0.0036197074454467886,-0.2936955269918954,0.02597732075628253,0.0,0.0,0.0
1762176507.3221703,,circle,,4.900961927276499,0.3636288643682435,2.6582457557817762,-0.19187706390444473,2.5152006201772226,-0.0018706075470622048,-0.12297663678049586,-0.0033538473145724793,0.9924038988868884,0.0194192112191036,-0.10511760633309071,0.49050135136211326,-0.3011096171664161,0.038547658171493415,9.92793476456545,4.973430873732762,0.354648694312427,1.9938013111872015,-0.19539377295137592,2.639005876021561,-0.003927430019277105,-1.0595137864305715,-0.12382858420956211,9.888875548894713,0.10841421338669359,-0.013434417364790304,-0.9940150274346023,19912,19909,19891,19889,14.22713142435964,1.15,0.285,0.66844507,9.476982642170451e-05,0.005490416388817437,-0.07415405759613898,0.00011035779486872454,0.005140321495996755,-0.06738174369968326,5.022554725617782e-05,-0.07381567815258608,-0.0018063204984789156,-0.00833845131216611,0.004922328364422528,-0.29363060645211414,0.025561150345207725,0.0,0.0,0.0
1762176507.3321702,,circle,,4.899387360575285,0.38373963849908216,2.658232514661511,-0.20175995451596554,2.512484817429208,-0.0014411135898686528,-0.12276784742619162,-0.004151719515420552,0.9924267322452217,0.017328206405727027,-0.0965157757695265,0.4907634413072979,-0.2983186255354257,0.03824297530184029,9.926366281853424,4.9724406692881855,0.3678420808163258,1.99378284747803,-0.20068733274179865,2.6383410881091542,-0.0034583862994618324,-1.0579671631414933,-0.1421497398848004,9.888688399620323,0.10837484764441442,-0.011566984506392479,-0.9940428045448944,19892,19908,19896,19902,14.226056548963362,1.15,0.285,0.66844507,9.476982642170451e-05,0.005786555264514906,-0.07409943851525805,8.399674480617501e-05,0.005465900302778877,-0.06722601030540279,3.583121706152021e-05,-0.0738657358491418,-0.0021395072597472104,-0.008298899606710847,0.006112463215963619,-0.29313116128984285,0.024847397923659708,0.0,0.0,0.0
1762176507.3421702,,circle,,4.896877539303334,0.41386460784436935,2.6582190027848664,-0.2165339417614052,2.508328534825183,-0.0008151814601813189,-0.12249917038202834,-0.0052230368578579794,0.9924548720990758,0.012947223109145709,-0.08341051771292536,0.49095146971926457,-0.2956404036895263,0.037944488634566564,9.924404897896231,4.96974235730732,0.40212821589485004,1.9937457914963324,-0.21443371728972244,2.6363966310816704,-0.002244914038407282,-1.0564008712289907,-0.1644868474177663,9.887839379716894,0.10836224479843527,-0.010051739753573666,-0.9940606553073966,19897,19907,19891,19895,14.223197040376482,1.15,0.285,0.66844507,9.476982642170451e-05,0.006081846163328162,-0.07403564459826804,5.783410011320761e-05,0.0057897063518292146,-0.06706841059535679,2.189489477523605e-05,-0.07397327399575826,-0.0028026765698690643,-0.008233380715707806,0.00833044095132385,-0.29164747041893935,0.023673686775413923,0.0,0.0,0.0
1762176507.3521702,,circle,,4.894650818646952,0.4389303172811077,2.658213380415369,-0.2288042584572722,2.504805637144655,-0.0003124823319162767,-0.12231823606314352,-0.005999143212427088,0.9924728003419533,0.010064987335370769,-0.07378251341037231,0.49127829686412167,-0.2925930038730984,0.03763163300340788,9.922429515876109,4.967093111738603,0.433752793444471,1.9937255182042901,-0.22710467663595463,2.6343210075554317,-0.0011363455783100196,-1.0553659532929471,-0.18336682124298065,9.886920137735343,0.10837433970700117,-0.0077456234910023665,-0.9940799805899964,19899,19909,19887,19890,14.22141143720332,1.15,0.285,0.66844507,9.476982642170451e-05,0.006376308043831771,-0.07396255532950838,3.190461792546355e-05,0.006111899549318978,-0.06690975522610658,8.438294052844728e-06,-0.07397327399575826,-0.0028026765698690643,-0.008233380715707806,0.00833044095132385,-0.29164747041893935,0.023673686775413923,0.0,0.0,0.0
1762176507.3621702,,circle,,4.892301566268177,0.4639605865074007,2.6582126972099434,-0.2410407421139487,2.501242260144519,0.0001726837648680602,-0.12216356552352144,-0.006697974162412912,0.9924873804800591,0.008544168113347895,-0.06878417392929896,0.49142921199483297,-0.28993786556151585,0.037350300317065654,9.920829633934163,4.965242511167323,0.4548213008562412,1.9937193598583058,-0.23554460240890962,2.6327854842436165,-0.0004044622854603217,-1.054718842637803,-0.19862843287965504,9.886106827879885,0.1084027860365443,-0.006187622064629827,-0.9940877975876682,19891,19902,19891,19895,14.21926526097612,1.15,0.285,0.66844507,9.476982642170451e-05,0.006669958227542569,-0.07388006529938222,6.2452271247726e-06,0.006432607082285784,-0.06675070605445875,-4.524713081086033e-06,-0.0740065701253213,-0.00311547374615885,-0.00821227278090479,0.009276975336524622,-0.2911922838003997,0.024546335915626643,0.0,0.0,0.0
