time,fl_true_x,fl_true_y,fl_true_z,fl_est_x,fl_est_y,fl_est_z,fq_true_x,fq_true_y,fq_true_z,fq_est_x,fq_est_y,fq_est_z,wind_x,wind_y,wind_z
1763982627.956651,0.0,0.0,4.654068286968652e-05,0.0,0.0,0.0,0.0,0.0,4.654068286968652e-05,0.0,0.0,0.00015707209875498405,0.0,0.0,0.0
1763982627.9671953,0.0,0.0,4.6228980524073365e-05,0.0,0.0,4.6540231155054514e-05,0.0,0.0,4.6228980524073365e-05,0.0,0.0,0.0008058462678411546,0.0,0.0,0.0
1763982627.9767115,0.0,0.0,3.204981785048527e-05,0.0,0.0,4.194572656883189e-05,0.0,0.0,3.204981785048527e-05,0.0,0.0,0.002212342369611486,0.0,0.0,0.0
1763982627.9866784,0.0,0.0,5.167697805254181e-06,1.6868390335173872e-10,-6.132151484610606e-08,1.823789677555661e-05,0.0,0.0,5.16769780525418e-06,2.1924744386051856e-07,6.100049564039893e-10,0.0050506448230874575,0.0,0.0,0.0
1763982627.9967346,1.1967373179867695e-12,-3.450419258913982e-14,-8.769734671802586e-06,-3.877320228017571e-07,-1.9306978015400567e-06,-6.59396184903213e-08,2.45765155507038e-08,-1.8251673539736652e-09,-8.76976928893339e-06,3.6402186238259496e-05,-6.926672762844127e-06,0.009585529704370708,0.0,0.0,0.0
1763982628.0065544,3.286679589815841e-10,-5.27439921350208e-11,-4.953247876289592e-05,-4.209631302873795e-06,-1.1836325688174078e-05,-2.9831594713764403e-05,1.474709957528752e-06,-3.733348604606353e-07,-4.955577545111572e-05,0.0003172737296150883,-9.915101744208434e-05,0.015356813995188885,0.0,0.0,0.0
1763982628.01687,4.441344510794513e-09,-1.2457871993923465e-09,-7.607598383541913e-05,-1.7270657816701175e-05,-3.5702853848640654e-05,-6.382435854500055e-05,7.835978687690489e-06,-3.41783840822242e-06,-7.654743355949528e-05,0.0012596151082793158,-0.0005135948774507742,0.022717720144622453,0.0,0.0,0.0
1763982628.0266817,2.559003894869157e-08,-1.0108779081729568e-08,-0.00010138543456003274,-4.305396190127101e-05,-7.220485347763538e-05,-8.801972257091048e-05,2.336076102731815e-05,-1.343014327829433e-05,-0.00010467300728269825,0.0032467466783661783,-0.0015901551770122857,0.03293504848850105,0.0,0.0,0.0
1763982628.0367584,9.564780868803052e-08,-4.657744521254802e-08,-0.000130528419494554,-8.012855936761287e-05,-0.00011662104379182263,-0.00011750722441400435,5.314306290796224e-05,-3.455871556885241e-05,-0.0001427143016521011,0.006465176640864157,-0.0036121072684614053,0.04616462381536699,0.0,0.0,0.0
1763982628.0466204,2.259926467363017e-07,-1.2408659887723464e-07,-0.00013135611010776715,-0.00012219803288379848,-0.00016178198072120471,-0.00013563594723474244,8.955897385232965e-05,-6.161724414378024e-05,-0.00015879456160496725,0.010897660166047964,-0.006690086021002817,0.06105255904316234,0.0,0.0,0.0
1763982628.0567477,4.3076196729497257e-07,-2.557679699990872e-07,-0.00011912608690344258,-0.00016056702894524035,-0.00019694455439373844,-0.00012513160905441563,0.00013665931676638644,-9.821966140308802e-05,-0.00016770394016253027,0.01629669298071295,-0.010725694727136177,0.0761570471252407,0.0,0.0,0.0
1763982628.0670147,7.674745700520981e-07,-4.822908523099023e-07,-0.00011262492808016709,-0.00019099576537915267,-0.00021576244230437497,-0.00011637348147757884,0.00020817478723361013,-0.0001563626205234634,-0.00018907138720280754,0.02228493419535714,-0.015511514660006527,0.0905692597316225,0.0,0.0,0.0
1763982628.0767832,1.2977195258706106e-06,-8.526465874946027e-07,-0.00011156053358047856,-0.00021445394862077829,-0.0002176921447147979,-0.00011379948926202088,0.0003105805190646136,-0.00024503816201489,-0.00022207131681425008,0.028478029137566318,-0.020843286821763132,0.10368204533531969,0.0,0.0,0.0
