quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
0,0,5.15436,0.1589,0,0,0,0
0.0229731,0.019825,5.19848,0.205038,0.0240223,0.0240215,5.19848,0.205038
0.0458552,0.039568,5.21963,0.227206,0.0479493,0.0479432,5.21963,0.227206
0.0689293,0.0594699,5.24171,0.25037,0.0720768,0.0720559,5.24171,0.25037
0.0918387,0.0792195,5.2531,0.26232,0.0960316,0.0959823,5.2531,0.26232
0.114771,0.0989754,5.28012,0.290715,0.12001,0.119914,5.28012,0.290715
0.137559,0.11859,5.29221,0.30344,0.143837,0.143671,5.29222,0.303443
0.160642,0.138438,5.30449,0.316382,0.167971,0.167707,5.30454,0.316398
0.183719,0.158257,5.3169,0.32952,0.192098,0.191704,5.31706,0.329577
0.206602,0.177882,5.32939,0.342833,0.216021,0.21546,5.32979,0.342979
0.229711,0.19767,5.33189,0.345514,0.24018,0.239409,5.33236,0.345686
0.252829,0.21743,5.35445,0.369934,0.264346,0.263317,5.35586,0.370441
0.275735,0.236972,5.36696,0.383765,0.288288,0.286954,5.3692,0.384494
0.298533,0.256381,5.37934,0.397832,0.312118,0.310424,5.38273,0.398758
0.321303,0.275721,5.39149,0.412161,0.335916,0.333803,5.39646,0.413231
0.343907,0.294873,5.40336,0.426731,0.359538,0.356946,5.41037,0.427908
0.367151,0.314515,5.4149,0.441484,0.383827,0.380673,5.42447,0.442788
0.390171,0.333912,5.42608,0.456338,0.407881,0.404094,5.43875,0.457865
0.412516,0.352683,5.43693,0.471223,0.431227,0.426749,5.4532,0.47314
0.435267,0.371733,5.44739,0.486069,0.454995,0.449732,5.46781,0.488611
0.458758,0.391334,5.45732,0.500782,0.479534,0.473368,5.48258,0.504274
0.481333,0.410102,5.46657,0.51533,0.503113,0.495988,5.49749,0.520125
0.504295,0.429117,5.47524,0.529799,0.527094,0.518895,5.51253,0.536161
0.526436,0.447378,5.48334,0.544272,0.550216,0.540883,5.5277,0.552379
