quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
-4.52907,1.91011,-4.63942,1.37699,-4.60704,1.94299,-4.70177,1.53729
-4.54029,1.88327,-4.64979,1.34963,-4.61845,1.91569,-4.70605,1.52234
-4.54869,1.86291,-4.65631,1.33216,-4.62699,1.89498,-4.71282,1.49838
-4.56028,1.83436,-4.66552,1.30711,-4.63878,1.86594,-4.72276,1.46237
-4.5668,1.81805,-4.67458,1.28195,-4.64542,1.84935,-4.73005,1.43532
-4.5778,1.79018,-4.68614,1.2491,-4.65661,1.82099,-4.73719,1.40822
-4.58391,1.77448,-4.69051,1.23641,-4.66282,1.80502,-4.74496,1.37808
-4.59347,1.74956,-4.69999,1.20843,-4.67255,1.77968,-4.75256,1.34791
-4.60219,1.7265,-4.70843,1.18289,-4.68142,1.75622,-4.75851,1.32375
-4.61104,1.70273,-4.71423,1.16496,-4.69042,1.73205,-4.76581,1.29355
-4.61915,1.6806,-4.72236,1.13928,-4.69867,1.70953,-4.77293,1.26333
-4.63184,1.64531,-4.73031,1.11351,-4.71157,1.67364,-4.7799,1.23311
-4.63752,1.62922,-4.73807,1.08767,-4.71736,1.65727,-4.7867,1.2029
-4.64812,1.59873,-4.74339,1.06953,-4.72814,1.62625,-4.79071,1.18477
-4.65164,1.58847,-4.75229,1.03837,-4.73172,1.61582,-4.79726,1.15459
-4.65941,1.56554,-4.75447,1.03057,-4.73962,1.59249,-4.80366,1.12443
-4.66736,1.54165,-4.76161,1.00451,-4.74771,1.56819,-4.80867,1.10032
-4.67527,1.51751,-4.76855,0.978398,-4.75575,1.54363,-4.81601,1.06421
-4.6844,1.48908,-4.77793,0.941744,-4.76504,1.51471,-4.82198,1.03418
-4.68991,1.47165,-4.77989,0.933875,-4.77064,1.49698,-4.8249,1.01918
-4.69725,1.44804,-4.78943,0.894461,-4.77811,1.47296,-4.82894,0.99821
-4.70432,1.42492,-4.79129,0.886564,-4.7853,1.44945,-4.83572,0.962337
-4.71149,1.40101,-4.79853,0.854933,-4.7926,1.42513,-4.84013,0.938479
-4.71839,1.37758,-4.80205,0.839092,-4.79962,1.4013,-4.84552,0.908726
-4.72517,1.35414,-4.8032,0.833808,-4.80652,1.37746,-4.84975,0.884981
-4.73194,1.33029,-4.80998,0.80207,-4.8134,1.3532,-4.85543,0.852419
-4.73841,1.30706,-4.81327,0.786178,-4.81998,1.32957,-4.85896,0.831754
-4.74543,1.28135,-4.82015,0.751689,-4.82712,1.30341,-4.86343,0.80525
-4.75142,1.25896,-4.82372,0.733087,-4.83322,1.28063,-4.86828,0.775889
-4.75741,1.23615,-4.83011,0.698476,-4.8393,1.25743,-4.87208,0.752471
-4.76371,1.21161,-4.83295,0.682474,-4.84572,1.23247,-4.87441,0.737867
-4.76954,1.18846,-4.83753,0.655767,-4.85165,1.20892,-4.87855,0.711645
-4.7754,1.16472,-4.84191,0.629015,-4.8576,1.18477,-4.88082,0.697114
-4.78161,1.13893,-4.84529,0.607583,-4.86393,1.15854,-4.88482,0.671025
-4.78701,1.11603,-4.84814,0.588807,-4.86942,1.13525,-4.89003,0.636377
-4.79285,1.09066,-4.85011,0.575384,-4.87536,1.10944,-4.89426,0.607628
-4.79776,1.06885,-4.85393,0.548508,-4.88036,1.08725,-4.89756,0.584711
-4.80304,1.04487,-4.85754,0.521592,-4.88573,1.06286,-4.902,0.553323
-4.80837,1.02006,-4.8613,0.491939,-4.89115,1.03762,-4.90516,0.530587
-4.81333,0.996427,-4.86389,0.470343,-4.89619,1.01358,-4.90786,0.510759
-4.81957,0.965757,-4.86452,0.46494,-4.90254,0.982383,-4.91164,0.482541
-4.82318,0.947584,-4.86783,0.435197,-4.90621,0.963897,-4.91459,0.46006
-4.82779,0.923798,-4.86983,0.416246,-4.9109,0.939701,-4.91675,0.443255
-4.83302,0.896033,-4.87173,0.397276,-4.91622,0.911458,-4.91888,0.426497
-4.83671,0.875906,-4.8738,0.375572,-4.91997,0.890985,-4.92371,0.387585
-4.84145,0.849339,-4.87621,0.348405,-4.92479,0.863961,-4.92704,0.359953
-4.84556,0.825527,-4.87865,0.318472,-4.92898,0.839738,-4.92898,0.343441
-4.84933,0.803089,-4.88008,0.299395,-4.93281,0.816914,-4.93057,0.329718
-4.85319,0.779447,-4.8818,0.274834,-4.93674,0.792865,-4.93338,0.305104
-4.85747,0.752289,-4.88401,0.239296,-4.94109,0.765239,-4.9358,0.283318
-4.8608,0.730504,-4.88478,0.225609,-4.94448,0.74308,-4.93786,0.264327
-4.86503,0.701724,-4.88618,0.198202,-4.94879,0.713804,-4.94072,0.237314
-4.86786,0.681835,-4.88717,0.176249,-4.95166,0.693573,-4.94294,0.215803
-4.87133,0.656634,-4.88854,0.140524,-4.95518,0.667938,-4.94561,0.189036
-4.87481,0.630252,-4.88899,0.126769,-4.95873,0.641101,-4.94818,0.162405
-4.87751,0.608961,-4.88961,0.104743,-4.96148,0.619444,-4.94918,0.15179
