quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
1.68329,1.19154,4.19087,1.31192,1.75471,1.42325,4.53373,1.57901
1.70168,1.19781,4.16188,1.31389,1.77382,1.43054,4.48173,1.59712
1.72016,1.20384,4.13352,1.31538,1.79303,1.43754,4.43012,1.61501
1.7397,1.20992,4.10583,1.3164,1.81334,1.44459,4.37897,1.63265
1.75663,1.21493,4.07885,1.31697,1.83094,1.4504,4.32829,1.65002
1.77518,1.22014,4.05261,1.31708,1.85023,1.45643,4.27815,1.66709
1.79321,1.22491,4.02712,1.31674,1.86897,1.46196,4.22857,1.68382
1.81177,1.22953,4.00243,1.31598,1.88827,1.4673,4.17959,1.70018
1.82896,1.23352,3.97856,1.31482,1.90614,1.47192,4.13124,1.71612
1.84673,1.23736,3.95552,1.31326,1.92462,1.47636,4.08357,1.73161
1.86442,1.24089,3.93334,1.31133,1.94301,1.48042,4.03661,1.74657
1.88191,1.24407,3.91203,1.30906,1.96121,1.48409,3.9904,1.76097
1.89929,1.24693,3.8916,1.30648,1.97928,1.48738,3.94499,1.77472
1.91671,1.24949,3.87205,1.30361,1.9974,1.49032,3.9004,1.78778
1.93395,1.2517,3.85339,1.30051,2.01534,1.49286,3.8567,1.80006
1.951,1.25358,3.83561,1.2972,2.03309,1.49502,3.81394,1.81148
1.96798,1.25514,3.8187,1.29372,2.05075,1.49679,3.77217,1.82199
1.98456,1.25634,3.80266,1.29013,2.068,1.49815,3.73145,1.83148
2.00118,1.25723,3.78746,1.28645,2.0853,1.49915,3.69185,1.8399
2.01767,1.25779,3.77308,1.28274,2.10247,1.49977,3.65343,1.84715
2.03514,1.25803,3.75949,1.27905,2.12066,1.5,3.61627,1.85316
2.0505,1.25792,3.74666,1.27541,2.13666,1.49984,3.58044,1.85784
2.06671,1.25749,3.73456,1.27188,2.15355,1.4993,3.54601,1.86112
2.08259,1.25673,3.72315,1.26851,2.17008,1.49838,3.51307,1.86294
2.09819,1.25565,3.71237,1.26533,2.18634,1.49709,3.48168,1.86323
2.11463,1.25416,3.70219,1.2624,2.20347,1.49532,3.45194,1.86194
2.12969,1.25246,3.69254,1.25975,2.21917,1.4933,3.4239,1.85901
2.14494,1.25041,3.68336,1.25741,2.23507,1.49088,3.39763,1.85442
2.16022,1.248,3.67461,1.25542,2.251,1.48805,3.37321,1.84813
2.1757,1.24521,3.66621,1.25379,2.26715,1.48475,3.3507,1.84014
2.19041,1.2422,3.65811,1.25253,2.28249,1.48122,3.33015,1.83043
2.20517,1.23884,3.65025,1.25166,2.2979,1.47728,3.31161,1.81902
2.21996,1.23511,3.64255,1.25117,2.31333,1.4729,3.29512,1.80594
2.23431,1.23115,3.63497,1.25105,2.32831,1.46825,3.28072,1.79121
2.24903,1.2267,3.62743,1.25127,2.34368,1.46304,3.26842,1.7749
2.26371,1.22189,3.61989,1.25179,2.35901,1.45739,3.25824,1.75706
2.27772,1.21692,3.61229,1.25256,2.37365,1.45157,3.25017,1.73778
2.29148,1.21169,3.60458,1.25352,2.38803,1.44544,3.24419,1.71713
2.30532,1.20605,3.59673,1.2546,2.4025,1.43883,3.24027,1.69523
2.31881,1.20018,3.5887,1.25575,2.4166,1.43196,3.23835,1.67219
2.33275,1.19373,3.58049,1.25687,2.43118,1.42439,3.23836,1.64815
2.34571,1.18736,3.57207,1.2579,2.44474,1.41693,3.24023,1.62322
2.3591,1.18039,3.56345,1.25876,2.45875,1.40877,3.24386,1.59756
2.37218,1.17319,3.55461,1.25938,2.47244,1.40033,3.24915,1.57129
2.38531,1.16556,3.54557,1.25968,2.48619,1.39139,3.256,1.54456
2.39773,1.15797,3.53632,1.25959,2.4992,1.38249,3.26429,1.51749
2.41071,1.14962,3.52689,1.25904,2.5128,1.3727,3.27392,1.4902
2.42293,1.14137,3.51728,1.25795,2.52561,1.36302,3.28476,1.46282
2.43503,1.13281,3.50751,1.25626,2.5383,1.35298,3.29671,1.43543
2.44701,1.12393,3.49761,1.2539,2.55086,1.34257,3.30967,1.40815
2.45903,1.11462,3.48759,1.25081,2.56347,1.33164,3.32353,1.38104
2.47076,1.10512,3.47748,1.24695,2.57579,1.32048,3.33819,1.35419
2.48238,1.09531,3.46731,1.24227,2.58798,1.30896,3.35356,1.32766
2.49394,1.08511,3.45711,1.23673,2.60013,1.29698,3.36954,1.30151
2.50514,1.07482,3.44691,1.23033,2.6119,1.28488,3.38606,1.27579
2.51649,1.06396,3.43673,1.22305,2.62382,1.27211,3.40304,1.25054
2.52744,1.05304,3.4266,1.21491,2.63534,1.25927,3.42039,1.22581
2.53826,1.04183,3.41653,1.20592,2.64671,1.24608,3.43806,1.20163
2.54912,1.03012,3.40656,1.19608,2.65815,1.2323,3.45595,1.17802
2.55938,1.01863,3.3967,1.18542,2.66895,1.21876,3.47402,1.155
2.56979,1.00652,3.38696,1.17394,2.67991,1.2045,3.49219,1.13259
2.57997,0.994231,3.37735,1.16166,2.69063,1.19001,3.5104,1.11081
2.58997,0.981702,3.3679,1.1486,2.70117,1.17523,3.52859,1.08967
2.5996,0.969184,3.35862,1.13479,2.71133,1.16046,3.54669,1.06918
2.60926,0.956173,3.3495,1.12025,2.72152,1.14511,3.56465,1.04936
2.61882,0.942824,3.34057,1.105,2.7316,1.12934,3.58241,1.03021
2.62811,0.929368,3.33183,1.08906,2.74141,1.11344,3.59989,1.01173
2.63767,0.915009,3.32328,1.07246,2.75151,1.09646,3.61704,0.993924
2.64652,0.901246,3.31493,1.05524,2.76085,1.08018,3.63379,0.976801
2.65545,0.886844,3.3068,1.03741,2.77029,1.06314,3.65009,0.960354
2.66408,0.872422,3.29887,1.01903,2.77942,1.04606,3.66588,0.944577
2.67242,0.858006,3.29117,1.00012,2.78824,1.02898,3.68108,0.929464
2.68061,0.843331,3.28369,0.980714,2.79691,1.01158,3.69566,0.915002
2.68858,0.828557,3.27644,0.960857,2.80535,0.994058,3.70955,0.901177
2.69658,0.81319,3.26942,0.940581,2.81382,0.975821,3.72271,0.887969
2.70432,0.797807,3.26263,0.919921,2.82202,0.957554,3.73508,0.875359
2.71185,0.782297,3.25608,0.898913,2.83,0.939127,3.74664,0.863323
2.71946,0.766047,3.24977,0.877585,2.83807,0.919811,3.75733,0.851836
2.72656,0.750357,3.24369,0.855973,2.8456,0.901149,3.76714,0.840869
2.73372,0.733942,3.23785,0.834109,2.85319,0.881613,3.77603,0.830394
2.74059,0.71761,3.23225,0.812021,2.86049,0.862166,3.78398,0.820384
2.74738,0.700869,3.22687,0.789738,2.8677,0.84222,3.79098,0.810806
2.75379,0.684467,3.22171,0.767286,2.87452,0.822669,3.79702,0.80163
2.76017,0.667558,3.21677,0.74469,2.88129,0.802501,3.80209,0.792822
2.76645,0.650236,3.21205,0.721976,2.88798,0.781829,3.8062,0.784351
2.77251,0.632884,3.20752,0.699165,2.89442,0.76111,3.80935,0.776186
2.77838,0.615418,3.20319,0.676278,2.90067,0.740244,3.81154,0.768296
2.78398,0.598084,3.19904,0.653332,2.90663,0.719525,3.8128,0.760652
2.78942,0.580566,3.19506,0.630341,2.91242,0.698574,3.81313,0.753226
2.79483,0.562424,3.19123,0.607314,2.91818,0.676867,3.81256,0.745987
2.80005,0.544186,3.18756,0.584261,2.92374,0.655034,3.81109,0.738902
2.80486,0.526633,3.18401,0.561191,2.92887,0.63401,3.80874,0.731943
2.80968,0.508277,3.18058,0.538115,2.93401,0.612013,3.80555,0.725082
2.81433,0.489732,3.17725,0.515039,2.93897,0.58978,3.80152,0.718296
2.81862,0.471869,3.17401,0.491969,2.94355,0.568355,3.79669,0.711559
2.82294,0.453003,3.17086,0.468908,2.94816,0.545715,3.79107,0.704843
2.82704,0.434198,3.16776,0.445862,2.95253,0.52314,3.78469,0.698124
2.83111,0.414535,3.16472,0.422832,2.95688,0.499523,3.77756,0.691377
2.8346,0.396806,3.16171,0.399822,2.9606,0.478222,3.76971,0.684576
2.83814,0.377792,3.15873,0.376835,2.96439,0.455366,3.76117,0.677697
2.84156,0.358397,3.15576,0.353872,2.96805,0.432045,3.75195,0.670716
2.84465,0.339789,3.1528,0.330936,2.97135,0.409662,3.74208,0.663608
2.84773,0.320099,3.14983,0.308028,2.97464,0.385968,3.73159,0.656349
2.85054,0.300847,3.14686,0.285152,2.97765,0.362794,3.72049,0.648917
2.85316,0.28169,3.14386,0.262307,2.98045,0.339727,3.70883,0.641288
2.85563,0.26219,3.14079,0.239452,2.98309,0.31624,3.69661,0.633439
2.85789,0.242941,3.13754,0.216511,2.98551,0.293049,3.6838,0.625305
2.86,0.223376,3.134,0.193413,2.98777,0.269472,3.67031,0.616779
2.86194,0.203692,3.13006,0.170098,2.98985,0.245744,3.65605,0.60775
2.8637,0.183938,3.12566,0.14654,2.99173,0.221928,3.64095,0.598105
2.86529,0.164068,3.12092,0.122852,2.99343,0.197966,3.62497,0.587761
2.86671,0.143859,3.11596,0.0991368,2.99496,0.173592,3.6083,0.576812
2.86792,0.12404,3.11076,0.0754212,2.99625,0.149684,3.59109,0.565337
2.86892,0.104904,3.1053,0.0517452,2.99732,0.126597,3.57335,0.553299
2.86978,0.0850846,3.09971,0.0281832,2.99824,0.102683,3.55513,0.540681
2.87045,0.0653862,3.09405,0.00477922,2.99896,0.0789124,3.53655,0.527564
2.87095,0.0452822,3.0884,-0.0184313,2.9995,0.0546507,3.5177,0.513992
2.87127,0.025487,3.08283,-0.0414151,2.99984,0.0307604,3.49865,0.500008
2.87141,0.00566112,3.07738,-0.0641476,2.99999,0.00683249,3.47949,0.48566
2.87137,-0.014225,3.07211,-0.0866105,2.99995,-0.0171683,3.46025,0.470978
2.87116,-0.0340912,3.06702,-0.108787,2.99972,-0.0411447,3.441,0.455984
2.87075,-0.0543057,3.06213,-0.130661,2.99928,-0.0655405,3.42177,0.440689
2.87018,-0.0738618,3.05745,-0.152217,2.99867,-0.0891404,3.4026,0.425104
2.86942,-0.093946,3.05299,-0.173439,2.99785,-0.113375,3.38351,0.409237
2.86846,-0.114171,3.04875,-0.194311,2.99683,-0.137778,3.36453,0.393094
2.86735,-0.133738,3.04471,-0.214818,2.99564,-0.161384,3.3457,0.376679
2.86608,-0.153193,3.04087,-0.234946,2.99428,-0.184851,3.32703,0.359993
2.86459,-0.173083,3.03721,-0.254677,2.99269,-0.208839,3.30856,0.343043
2.86287,-0.193492,3.0337,-0.273993,2.99085,-0.233447,3.2903,0.325831
2.86111,-0.212365,3.03033,-0.292874,2.98896,-0.256199,3.27229,0.308363
2.85864,-0.236228,3.02706,-0.311303,2.98631,-0.28496,3.25453,0.290648
2.85689,-0.251613,3.02385,-0.329264,2.98445,-0.303498,3.23706,0.272697
2.85451,-0.271249,3.02067,-0.34674,2.98189,-0.327152,3.21989,0.254519
2.85197,-0.290578,3.01747,-0.363717,2.97917,-0.35043,3.20304,0.23613
2.84919,-0.310255,3.0142,-0.380184,2.9762,-0.37412,3.18653,0.217544
2.84632,-0.329246,3.01081,-0.396136,2.97314,-0.396976,3.17038,0.198774
2.84328,-0.348181,3.00728,-0.411568,2.96988,-0.419757,3.1546,0.17984
2.83998,-0.367507,3.00355,-0.426481,2.96636,-0.443001,3.1392,0.160757
2.83654,-0.386488,2.99959,-0.440882,2.96269,-0.465821,3.12421,0.141543
2.83288,-0.405637,2.99536,-0.454779,2.95877,-0.488833,3.10963,0.122212
2.82913,-0.424225,2.99085,-0.46819,2.95477,-0.511163,3.09547,0.102776
2.82518,-0.442831,2.98602,-0.481129,2.95055,-0.533504,3.08174,0.0832462
2.82101,-0.461533,2.98086,-0.493618,2.9461,-0.555952,3.06844,0.0636326
2.81666,-0.480125,2.97534,-0.505676,2.94146,-0.578258,3.05559,0.0439445
2.81214,-0.498559,2.96947,-0.517327,2.93664,-0.600364,3.0432,0.0241916
2.80735,-0.517249,2.96323,-0.528596,2.93152,-0.622766,3.03126,0.0043836
2.80272,-0.53454,2.9566,-0.539511,2.92658,-0.643481,3.01977,-0.0154736
2.79761,-0.552815,2.94958,-0.5501,2.92114,-0.665365,3.00874,-0.0353745
2.79243,-0.570595,2.94217,-0.560392,2.91562,-0.686645,2.99818,-0.055312
2.78703,-0.588377,2.93437,-0.57042,2.90987,-0.707917,2.98806,-0.0752804
2.78128,-0.606539,2.92618,-0.580217,2.90375,-0.729633,2.97841,-0.095276
2.77552,-0.62401,2.91761,-0.589816,2.89762,-0.75051,2.9692,-0.115294
2.76968,-0.64108,2.90865,-0.599256,2.89141,-0.770898,2.96044,-0.13533
2.76357,-0.65825,2.89915,-0.608659,2.88491,-0.791394,2.95212,-0.155383
2.75739,-0.674992,2.88898,-0.618125,2.87834,-0.811369,2.94423,-0.175523
2.75091,-0.691904,2.87803,-0.627692,2.87146,-0.831534,2.93675,-0.195819
2.7443,-0.708543,2.86615,-0.637349,2.86443,-0.851365,2.92967,-0.216328
2.73744,-0.725167,2.85339,-0.646939,2.85715,-0.871166,2.92296,-0.237126
2.73053,-0.741329,2.83992,-0.65628,2.84981,-0.890406,2.91661,-0.258193
2.72341,-0.75739,2.82573,-0.665351,2.84226,-0.909514,2.91061,-0.279457
2.71597,-0.773565,2.81092,-0.674169,2.83437,-0.928749,2.90492,-0.300958
2.70833,-0.789624,2.79571,-0.682716,2.82626,-0.947833,2.89952,-0.322655
2.70085,-0.804777,2.78019,-0.690986,2.81834,-0.965832,2.89442,-0.344433
2.69308,-0.819976,2.7643,-0.69905,2.81012,-0.983875,2.8896,-0.366209
2.68496,-0.835325,2.7481,-0.706904,2.80152,-1.00209,2.88504,-0.387989
2.67671,-0.850386,2.73174,-0.714473,2.79278,-1.01995,2.88072,-0.409727
2.66843,-0.864972,2.7153,-0.721696,2.78402,-1.03723,2.87665,-0.43134
2.65971,-0.879792,2.69883,-0.728539,2.7748,-1.05479,2.87283,-0.452771
2.65129,-0.89362,2.68233,-0.734982,2.76589,-1.07116,2.86924,-0.473985
2.64228,-0.907902,2.66581,-0.741011,2.75638,-1.08806,2.86586,-0.494963
2.63329,-0.921656,2.64927,-0.746615,2.74688,-1.10432,2.86268,-0.515685
2.62399,-0.935397,2.63271,-0.751784,2.73706,-1.12056,2.85968,-0.536139
2.61465,-0.948699,2.61613,-0.756509,2.72721,-1.13628,2.85682,-0.556312
2.6052,-0.961703,2.59954,-0.760783,2.71723,-1.15163,2.85408,-0.576192
2.59548,-0.974598,2.58293,-0.764601,2.70698,-1.16685,2.85145,-0.595766
2.58549,-0.987373,2.5663,-0.767961,2.69645,-1.18192,2.84889,-0.615026
2.57545,-0.999736,2.54968,-0.770858,2.68588,-1.1965,2.84637,-0.633959
2.56526,-1.01184,2.53305,-0.77329,2.67514,-1.21077,2.84386,-0.652551
2.55484,-1.02377,2.51645,-0.775257,2.66416,-1.22482,2.84133,-0.670789
2.54435,-1.03532,2.49987,-0.776764,2.65312,-1.23842,2.83874,-0.688657
2.53347,-1.04685,2.48334,-0.777817,2.64168,-1.25199,2.83606,-0.706141
2.52256,-1.05796,2.46688,-0.77842,2.63021,-1.26506,2.83325,-0.723223
2.51164,-1.06866,2.45051,-0.77858,2.61872,-1.27764,2.83028,-0.739881
2.50039,-1.07924,2.43425,-0.77831,2.6069,-1.29007,2.82712,-0.756094
2.48895,-1.08957,2.41812,-0.777623,2.59488,-1.30222,2.82372,-0.771841
2.47726,-1.09968,2.40213,-0.776534,2.58261,-1.31409,2.82007,-0.787102
2.46569,-1.10928,2.38631,-0.775061,2.57046,-1.32536,2.81613,-0.801854
2.45397,-1.1186,2.37066,-0.773223,2.55816,-1.3363,2.81187,-0.816073
2.44178,-1.12785,2.35521,-0.771042,2.54538,-1.34717,2.80728,-0.829735
2.42981,-1.13655,2.33996,-0.768546,2.53282,-1.35737,2.80234,-0.842819
2.41748,-1.1451,2.32492,-0.765761,2.51989,-1.3674,2.79703,-0.855303
2.40467,-1.15356,2.31011,-0.762722,2.50647,-1.37732,2.79134,-0.867166
2.39235,-1.1613,2.29551,-0.759465,2.49357,-1.3864,2.78526,-0.878389
2.37954,-1.16896,2.28115,-0.756032,2.48015,-1.39538,2.77878,-0.888957
2.36655,-1.17634,2.26701,-0.752463,2.46655,-1.40402,2.77192,-0.898856
2.35322,-1.1835,2.2531,-0.748809,2.45259,-1.41241,2.76467,-0.908069
2.34001,-1.1902,2.2394,-0.745129,2.43877,-1.42027,2.75707,-0.916592
2.32655,-1.19665,2.22591,-0.74148,2.42469,-1.42782,2.74912,-0.924422
2.3131,-1.20271,2.21261,-0.737927,2.41062,-1.43492,2.74086,-0.931558
2.29933,-1.20853,2.19949,-0.734535,2.39624,-1.44174,2.73232,-0.938005
2.28523,-1.21411,2.18654,-0.731364,2.38149,-1.44828,2.72355,-0.943773
2.27132,-1.21924,2.17375,-0.728465,2.36696,-1.45428,2.71458,-0.948876
2.25725,-1.22405,2.16107,-0.72588,2.35227,-1.45993,2.70545,-0.95333
2.24286,-1.22861,2.14849,-0.723633,2.33724,-1.46527,2.6962,-0.957147
2.22853,-1.23279,2.13594,-0.721749,2.32227,-1.47017,2.68687,-0.960338
2.21377,-1.23672,2.12339,-0.720242,2.30686,-1.47479,2.67744,-0.96291
2.19859,-1.24038,2.11077,-0.719117,2.29103,-1.47909,2.66795,-0.964864
2.18191,-1.24398,2.09805,-0.718373,2.27362,-1.48331,2.65838,-0.966202
2.1675,-1.24673,2.08517,-0.718005,2.2586,-1.48655,2.64874,-0.966924
2.1512,-1.24946,2.07209,-0.718005,2.24159,-1.48977,2.63901,-0.967028
2.1366,-1.25157,2.05877,-0.718363,2.22637,-1.49225,2.62918,-0.966514
2.11974,-1.25362,2.04518,-0.719062,2.2088,-1.49468,2.61923,-0.965383
2.1071,-1.25489,2.03409,-0.719851,2.19562,-1.49618,2.60915,-0.963633
2.09152,-1.25615,2.00251,-0.72297,2.17939,-1.49769,2.60098,-0.961786
2.07557,-1.2571,1.98758,-0.724798,2.16277,-1.49883,2.5779,-0.954652
2.05953,-1.25772,1.97229,-0.726843,2.14606,-1.49959,2.56705,-0.950413
2.04357,-1.25801,1.95662,-0.729068,2.12944,-1.49996,2.55593,-0.945555
2.02722,-1.25797,1.9406,-0.731434,2.11241,-1.49995,2.54452,-0.940081
2.01094,-1.2576,1.92421,-0.733906,2.09546,-1.49956,2.53278,-0.933995
1.99419,-1.2569,1.90749,-0.736444,2.07803,-1.49878,2.52069,-0.927305
1.97762,-1.25588,1.89042,-0.739014,2.06078,-1.49762,2.50822,-0.920014
1.96044,-1.25449,1.87302,-0.741579,2.04291,-1.49605,2.49534,-0.912135
1.94299,-1.25274,1.85531,-0.744105,2.02475,-1.49405,2.48201,-0.903676
1.92634,-1.25076,1.80032,-0.751116,2.00743,-1.49179,2.46822,-0.894652
1.90917,-1.24842,1.78138,-0.75316,1.98956,-1.48909,2.42375,-0.864337
1.89142,-1.24567,1.76215,-0.755007,1.9711,-1.48594,2.40782,-0.853214
1.87228,-1.24235,1.74262,-0.756625,1.95119,-1.48211,2.39128,-0.841618
1.8568,-1.2394,1.72282,-0.757982,1.93509,-1.47871,2.37413,-0.829573
1.83917,-1.23577,1.70275,-0.759045,1.91676,-1.47451,2.35636,-0.817107
1.82145,-1.23181,1.68243,-0.759784,1.89833,-1.46994,2.33797,-0.804245
1.80309,-1.22741,1.66186,-0.760169,1.87924,-1.46485,2.31896,-0.791016
1.78568,-1.22295,1.64105,-0.760172,1.86114,-1.45969,2.29932,-0.77745
1.76754,-1.21803,1.63476,-0.760094,1.84228,-1.45399,2.27906,-0.763575
1.7493,-1.21279,1.54913,-0.755158,1.82333,-1.44792,2.18534,-0.701052
1.73098,-1.20725,1.46752,-0.743079,1.80428,-1.44149,2.09727,-0.644538
1.7124,-1.20134,1.44514,-0.738385,1.78497,-1.43464,2.0725,-0.628963
1.69314,-1.19493,1.42266,-0.733038,1.76494,-1.42719,2.04738,-0.613287
1.67508,-1.18865,1.40011,-0.727059,1.74618,-1.4199,2.02198,-0.597514
1.65599,-1.18175,1.37753,-0.720466,1.72634,-1.41187,1.99637,-0.581647
1.63731,-1.17472,1.35497,-0.713273,1.70692,-1.4037,1.97059,-0.565688
1.6181,-1.16723,1.33246,-0.705479,1.68696,-1.39498,1.94468,-0.549641
1.59827,-1.15922,1.31001,-0.697085,1.66635,-1.38565,1.91867,-0.533506
1.57969,-1.15147,1.28766,-0.688094,1.64703,-1.37661,1.89259,-0.517287
1.56054,-1.14323,1.26544,-0.678511,1.62713,-1.36701,1.86646,-0.500988
1.54059,-1.13439,1.24336,-0.66835,1.60639,-1.35669,1.84033,-0.484612
1.52124,-1.12556,1.22146,-0.657622,1.58629,-1.34639,1.81419,-0.468164
1.50093,-1.11604,1.19976,-0.646343,1.56518,-1.33527,1.78807,-0.451645
1.48209,-1.10698,1.17829,-0.634533,1.54559,-1.32468,1.76199,-0.435059
1.46191,-1.09704,1.15707,-0.622217,1.52462,-1.31306,1.73595,-0.41841
1.44236,-1.08717,1.13612,-0.609424,1.5043,-1.30151,1.70997,-0.401702
1.42149,-1.0764,1.11548,-0.596185,1.4826,-1.28889,1.68405,-0.384938
1.40212,-1.06617,1.09515,-0.582532,1.46246,-1.27692,1.65819,-0.368123
1.38103,-1.05481,1.07517,-0.568491,1.44054,-1.2636,1.6324,-0.35126
1.36109,-1.04384,1.05554,-0.554086,1.4198,-1.25073,1.60666,-0.334354
1.34037,-1.03223,1.03628,-0.539341,1.39826,-1.2371,1.58099,-0.317414
