time,fl_true_x,fl_true_y,fl_true_z,fl_est_x,fl_est_y,fl_est_z,fq_true_x,fq_true_y,fq_true_z,fq_est_x,fq_est_y,fq_est_z,wind_x,wind_y,wind_z
1763982529.214625,0.0,0.0,4.6547955632084214e-05,0.0,0.0,0.0,0.0,0.0,4.6547955632084214e-05,0.0,0.0,0.0,0.0,0.0,0.0
1763982529.2328403,0.0,0.0,4.6543410249492124e-05,0.0,0.0,0.0,0.0,0.0,4.6543410249492124e-05,0.0,0.0,4.6547501317204214e-05,0.0,0.0,0.0
1763982529.2427738,0.0,0.0,4.654250111549143e-05,0.0,0.0,4.65434052338249e-05,0.0,0.0,4.654250111549143e-05,0.0,0.0,-0.001769260595405027,0.0,0.0,0.0
1763982529.2528625,0.0,0.0,4.654159198706246e-05,-1.6727321335533184e-09,-4.755711453708234e-10,4.654213706352664e-05,0.0,0.0,4.654159198706246e-05,-3.8937205029308964e-10,1.0700675963889954e-09,-0.007403869262220772,0.0,0.0,0.0
1763982529.2626705,0.0,0.0,4.654068286968652e-05,-8.804513738671336e-09,1.7028084854407529e-10,4.6540294343678864e-05,0.0,0.0,4.654068286968652e-05,-2.9945153224891924e-10,5.513295649016587e-09,-0.014828821052128204,0.0,0.0,0.0
1763982529.2707813,0.0,0.0,4.653977376742395e-05,-2.0779461028695106e-08,4.076927391855402e-09,4.653848896303028e-05,0.0,0.0,4.653977376742395e-05,1.6989158184841938e-09,1.2848218042417567e-08,-0.02113519422745077,0.0,0.0,0.0
1763982529.2707813,0.0,0.0,4.653886468328238e-05,-3.1859668854564336e-08,8.88832342583137e-09,4.6537945748980234e-05,0.0,0.0,4.653886468328238e-05,4.3312812050751504e-09,1.958180071623311e-08,-0.025528939169468298,0.0,0.0,0.0
1763982529.2929204,0.0,0.0,4.6537955619489375e-05,-3.935058431451147e-08,1.2295850419193315e-08,4.653689242459027e-05,0.0,0.0,4.6537955619489375e-05,6.212204399436112e-09,2.4127234519597578e-08,-0.027981442740694223,0.0,0.0,0.0
1763982529.3027568,0.0,0.0,4.1945052258277335e-05,-4.385775606943928e-08,1.4521414185169917e-08,4.653473439769982e-05,0.0,0.0,4.1945052258277335e-05,7.458681074117726e-09,2.6854346898031307e-08,-0.028714495390417583,0.0,0.0,0.0
1763982529.3129818,0.0,0.0,1.8237310073988358e-05,-4.5938372371900467e-08,1.5771968832834138e-08,4.1940325301222904e-05,0.0,0.0,1.8237310073988358e-05,8.180176700604492e-09,2.810330672031203e-08,-0.027930071340247047,0.0,0.0,0.0
1763982529.322648,5.980456338982179e-16,3.4052344741321295e-18,-6.503657108576973e-08,-4.597113085597312e-08,-1.9917245428037268e-08,1.823331696607141e-05,5.3758028602108364e-11,3.440077790199386e-13,-6.503659330412672e-08,1.2542315125488269e-07,2.8586414615560387e-08,-0.025622701007081968,0.0,0.0,0.0
1763982529.3328452,4.026399653218433e-11,-3.7707684509985415e-12,-2.9587645632965947e-05,-4.426224711964471e-07,-1.9224094383951804e-06,-6.804163112734727e-08,3.4444562014302446e-07,-5.5023805750808156e-08,-2.9589699732253545e-05,1.9514168654707316e-05,-3.6368399263500675e-06,-0.021838645965964874,0.0,0.0,0.0
1763982529.3428578,1.4135803446050392e-09,-3.026889622847162e-10,-6.284455891966379e-05,-4.4423052667789265e-06,-1.2494741692645094e-05,-2.9590405717959005e-05,3.791027750731458e-06,-1.2925794981250476e-06,-6.29712593695122e-05,0.00017368422881462153,-5.446223304942342e-05,-0.016891081991762345,0.0,0.0,0.0
1763982529.3528512,1.1241206224316371e-08,-3.748633807141041e-09,-8.606926664112165e-05,-1.8351586815964786e-05,-3.86336260995057e-05,-6.284943855114049e-05,1.394947759652285e-05,-7.079554397714314e-06,-8.743037028287798e-05,0.0007038427689451872,-0.00028948647580293957,-0.010597641230694949,0.0,0.0,0.0
