time,fl_true_x,fl_true_y,fl_true_z,fl_est_x,fl_est_y,fl_est_z,fq_true_x,fq_true_y,fq_true_z,fq_est_x,fq_est_y,fq_est_z,wind_x,wind_y,wind_z
1763898906.629835,0.0,0.0,4.64925356139793e-05,0.0,0.0,0.0,0.0,0.0,4.64925356139793e-05,0.0,0.0,0.00015717387563046596,0.0,0.0,0.0
1763898906.6396625,0.0,0.0,4.6180995719970806e-05,0.0,0.0,4.649207805473334e-05,0.0,0.0,4.6180995719970806e-05,0.0,0.0,0.0008592601028733714,0.0,0.0,0.0
1763898906.6495972,0.0,0.0,3.200986673300134e-05,0.0,0.0,4.1900022652720325e-05,0.0,0.0,3.200986673300134e-05,0.0,0.0,0.0023643933017032724,0.0,0.0,0.0
1763898906.6597502,0.0,0.0,5.151663217606212e-06,4.158054308269423e-11,-7.459674869034447e-09,1.820776095658626e-05,0.0,0.0,5.1516632176062105e-06,2.080531636475423e-08,1.1596971371345266e-10,0.005477571690790091,0.0,0.0,0.0
1763898906.669602,1.1676186415026032e-12,-3.7635969889759696e-14,-8.84591324674249e-06,-2.3843200813399884e-07,-1.3039479926569051e-06,-6.881146896090899e-08,2.4230487230539425e-08,-1.9232133578791677e-09,-8.845946632224123e-06,1.8672474466824587e-05,-3.0488309674551347e-06,0.01076771854755652,0.0,0.0,0.0
1763898906.6798463,3.279713344889049e-10,-5.457027003692178e-11,-5.013641506002551e-05,-3.4974243483320725e-06,-1.0288277290419064e-05,-3.0113360197980632e-05,1.476007921753119e-06,-3.823613581528355e-07,-5.0159537474273704e-05,0.00020786848484287754,-6.119690411013015e-05,0.017516538545643428,0.0,0.0,0.0
1763898906.689727,4.473019186226285e-09,-1.2821557918692782e-09,-7.74826644146485e-05,-1.6344015486172997e-05,-3.5145996672907925e-05,-6.480255750881813e-05,7.8939897031804e-06,-3.489479582578461e-06,-7.795458309585531e-05,0.0009373410363609432,-0.0003677752789432214,0.025466546713974202,0.0,0.0,0.0
1763898906.6995373,2.5891409069958477e-08,-1.0385743318545985e-08,-0.0001037359619905772,-4.398037645163344e-05,-7.615183501240019e-05,-8.987995240829715e-05,2.3598697786396488e-05,-1.3701401054840445e-05,-0.00010703582261572307,0.0026083825532547222,-0.0012458936549690491,0.03570330803148335,0.0,0.0,0.0
1763898906.7096887,9.733694641530451e-08,-4.799142121641131e-08,-0.0001344279932943793,-8.58811313647877e-05,-0.00012793674474311154,-0.00012043016838456208,5.384012402551673e-05,-3.532115564684695e-05,-0.0001466951516035732,0.00545095963383382,-0.002999989209775354,0.04868899109137556,0.0,0.0,0.0
1763898906.7196672,2.3371164091467733e-07,-1.2978195615763168e-07,-0.00013815946887378157,-0.00013340147662575596,-0.00017994213300870514,-0.00014081706999614967,9.156524497893957e-05,-6.353384314385769e-05,-0.00016600323522078086,0.00948716001468131,-0.0057762566906196765,0.06341373900391793,0.0,0.0,0.0
1763898906.7296188,4.5709187877919753e-07,-2.743381207684686e-07,-0.0001301111210251992,-0.0001742263819097683,-0.00021705081895634983,-0.00013388944203885834,0.0001412241852974815,-0.0001024421583857625,-0.00018006189359546547,0.014513648765472285,-0.009513819612605091,0.0784815626379845,0.0,0.0,0.0
1763898906.7395585,8.37718178562709e-07,-5.320089743851091e-07,-0.0001287072759187887,-0.00020391747224000057,-0.00023244015049752432,-0.00012953854534408562,0.00021639742192579458,-0.00016434625057351135,-0.00020862250950819526,0.020185445362645202,-0.014035203649317606,0.092916544212403,0.0,0.0,0.0
1763898906.749575,1.454342635388749e-06,-9.657649418774632e-07,-0.0001334218751092446,-0.00022644019369705832,-0.000227974961959728,-0.0001324066620143704,0.00032333280325924006,-0.00025844185029523807,-0.0002510941568030146,0.02612761775587379,-0.019151775033802127,0.10610052340302938,0.0,0.0,0.0
1763898906.7597377,2.4370421267840555e-06,-1.6825170935774402e-06,-0.00014554032536108223,-0.0002477684321812476,-0.0002079929304997662,-0.000142572651368849,0.0004679348133326585,-0.00039599625034118525,-0.00030980454897713475,0.03201262288535696,-0.024718421170560882,0.11754733729121335,0.0,0.0,0.0
1763898906.7698345,3.9533251239428625e-06,-2.8302101869867793e-06,-0.0001648826304353193,-0.0002692925494088437,-0.00017488966446105455,-0.00016219202380004028,0.0006525463303912204,-0.0005880618725613475,-0.0003853685490649502,0.03756169192478018,-0.030614204562409413,0.12694678235713147,0.0,0.0,0.0
1763898906.7795737,6.221166939333818e-06,-4.614744667851444e-06,-0.00019161387976525873,-0.00028905027542702744,-0.0001270034583856374,-0.00019162954624177587,0.0008774864769610653,-0.000846478761717445,-0.0004785680325565883,0.04252997183597652,-0.03673279892287392,0.13419284698523182,0.0,0.0,0.0
1763898906.7896369,9.499981735220604e-06,-7.302806354110183e-06,-0.00022572918887978942,-0.00030465034290290464,-6.469027526782589e-05,-0.00023274053300714149,0.0011410969620025083,-0.0011834167902276685,-0.0005893305362140459,0.04673381074554148,-0.042996952143894075,0.13929057002255094,0.0,0.0,0.0
1763898906.7996268,1.4080172701551367e-05,-1.1223903568669155e-05,-0.00026698484198125013,-0.00031116361498612256,9.374089694858913e-06,-0.00028661977362254515,0.0014403835835824,-0.0016113085552643513,-0.0007164749669244414,0.05004887545343129,-0.04933126292474305,0.14234613581388314,0.0,0.0,0.0
1763898906.8096108,2.0295569814436312e-05,-1.6791288574030088e-05,-0.00031547905681815816,-0.0003064413877324782,9.318337747794627e-05,-0.00035463665298143224,0.001772160117799388,-0.002143796499488521,-0.0008586967799943016,0.05239877917264545,-0.055672103035890715,0.14356069593818202,0.0,0.0,0.0
